Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"PCI.DSS.321-VPCDefaultSecurityGroupClosed","eks-blueprint/eks-blueprint-vpc/Resource","Non-Compliant","N/A","Warning","The VPC's default security group allows inbound or outbound traffic - (Control IDs: 1.2, 1.2.1, 1.3, 1.3.1, 1.3.2, 2.1, 2.2, 2.2.2)."
"PCI.DSS.321-VPCFlowLogsEnabled","eks-blueprint/eks-blueprint-vpc/Resource","Non-Compliant","N/A","Error","The VPC does not have an associated Flow Log - (Control IDs: 2.2, 10.1, 10.3.2, 10.3.3, 10.3.4, 10.3.5, 10.3.6)."
"PCI.DSS.321-VPCSubnetAutoAssignPublicIpDisabled","eks-blueprint/eks-blueprint-vpc/PublicSubnet1/Subnet","Non-Compliant","N/A","Error","The subnet auto-assigns public IP addresses - (Control IDs: 1.2, 1.2.1, 1.3, 1.3.1, 1.3.2, 1.3.4, 1.3.6, 2.2.2)."
"PCI.DSS.321-VPCNoUnrestrictedRouteToIGW","eks-blueprint/eks-blueprint-vpc/PublicSubnet1/DefaultRoute","Non-Compliant","N/A","Error","The route table may contain one or more unrestricted route(s) to an IGW ('0.0.0.0/0' or '::/0') - (Control IDs: 1.2, 1.2.1, 1.3, 1.3.1, 1.3.2, 2.2.2)."
"PCI.DSS.321-VPCSubnetAutoAssignPublicIpDisabled","eks-blueprint/eks-blueprint-vpc/PublicSubnet2/Subnet","Non-Compliant","N/A","Error","The subnet auto-assigns public IP addresses - (Control IDs: 1.2, 1.2.1, 1.3, 1.3.1, 1.3.2, 1.3.4, 1.3.6, 2.2.2)."
"PCI.DSS.321-VPCNoUnrestrictedRouteToIGW","eks-blueprint/eks-blueprint-vpc/PublicSubnet2/DefaultRoute","Non-Compliant","N/A","Error","The route table may contain one or more unrestricted route(s) to an IGW ('0.0.0.0/0' or '::/0') - (Control IDs: 1.2, 1.2.1, 1.3, 1.3.1, 1.3.2, 2.2.2)."
"PCI.DSS.321-VPCSubnetAutoAssignPublicIpDisabled","eks-blueprint/eks-blueprint-vpc/PublicSubnet3/Subnet","Non-Compliant","N/A","Error","The subnet auto-assigns public IP addresses - (Control IDs: 1.2, 1.2.1, 1.3, 1.3.1, 1.3.2, 1.3.4, 1.3.6, 2.2.2)."
"PCI.DSS.321-VPCNoUnrestrictedRouteToIGW","eks-blueprint/eks-blueprint-vpc/PublicSubnet3/DefaultRoute","Non-Compliant","N/A","Error","The route table may contain one or more unrestricted route(s) to an IGW ('0.0.0.0/0' or '::/0') - (Control IDs: 1.2, 1.2.1, 1.3, 1.3.1, 1.3.2, 2.2.2)."
"PCI.DSS.321-VPCSubnetAutoAssignPublicIpDisabled","eks-blueprint/eks-blueprint-vpc/PrivateSubnet1/Subnet","Compliant","N/A","Error","The subnet auto-assigns public IP addresses - (Control IDs: 1.2, 1.2.1, 1.3, 1.3.1, 1.3.2, 1.3.4, 1.3.6, 2.2.2)."
"PCI.DSS.321-VPCNoUnrestrictedRouteToIGW","eks-blueprint/eks-blueprint-vpc/PrivateSubnet1/DefaultRoute","Compliant","N/A","Error","The route table may contain one or more unrestricted route(s) to an IGW ('0.0.0.0/0' or '::/0') - (Control IDs: 1.2, 1.2.1, 1.3, 1.3.1, 1.3.2, 2.2.2)."
"PCI.DSS.321-VPCSubnetAutoAssignPublicIpDisabled","eks-blueprint/eks-blueprint-vpc/PrivateSubnet2/Subnet","Compliant","N/A","Error","The subnet auto-assigns public IP addresses - (Control IDs: 1.2, 1.2.1, 1.3, 1.3.1, 1.3.2, 1.3.4, 1.3.6, 2.2.2)."
"PCI.DSS.321-VPCNoUnrestrictedRouteToIGW","eks-blueprint/eks-blueprint-vpc/PrivateSubnet2/DefaultRoute","Compliant","N/A","Error","The route table may contain one or more unrestricted route(s) to an IGW ('0.0.0.0/0' or '::/0') - (Control IDs: 1.2, 1.2.1, 1.3, 1.3.1, 1.3.2, 2.2.2)."
"PCI.DSS.321-VPCSubnetAutoAssignPublicIpDisabled","eks-blueprint/eks-blueprint-vpc/PrivateSubnet3/Subnet","Compliant","N/A","Error","The subnet auto-assigns public IP addresses - (Control IDs: 1.2, 1.2.1, 1.3, 1.3.1, 1.3.2, 1.3.4, 1.3.6, 2.2.2)."
"PCI.DSS.321-VPCNoUnrestrictedRouteToIGW","eks-blueprint/eks-blueprint-vpc/PrivateSubnet3/DefaultRoute","Compliant","N/A","Error","The route table may contain one or more unrestricted route(s) to an IGW ('0.0.0.0/0' or '::/0') - (Control IDs: 1.2, 1.2.1, 1.3, 1.3.1, 1.3.2, 2.2.2)."
"PCI.DSS.321-KMSBackingKeyRotationEnabled","eks-blueprint/eks-blueprint-kms-key/Resource","Non-Compliant","N/A","Error","The KMS Symmetric key does not have automatic key rotation enabled - (Control IDs: 2.2, 3.5, 3.6, 3.6.4)."
"PCI.DSS.321-IAMNoInlinePolicy","eks-blueprint/eks-blueprint-AccessRole/Resource","Compliant","N/A","Error","The IAM Group, User, or Role contains an inline policy - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithAdminAccess","eks-blueprint/eks-blueprint-AccessRole/Resource","Compliant","N/A","Error","The IAM policy grants admin access, meaning the policy allows a principal to perform all actions on all resources - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithFullAccess","eks-blueprint/eks-blueprint-AccessRole/Resource","Compliant","N/A","Error","The IAM policy grants full access, meaning the policy allows a principal to perform all actions on individual resources - (Control IDs: 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMNoInlinePolicy","eks-blueprint/eks-blueprint/KubectlHandlerRole/Resource","Compliant","N/A","Error","The IAM Group, User, or Role contains an inline policy - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithAdminAccess","eks-blueprint/eks-blueprint/KubectlHandlerRole/Resource","Compliant","N/A","Error","The IAM policy grants admin access, meaning the policy allows a principal to perform all actions on all resources - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithFullAccess","eks-blueprint/eks-blueprint/KubectlHandlerRole/Resource","Compliant","N/A","Error","The IAM policy grants full access, meaning the policy allows a principal to perform all actions on individual resources - (Control IDs: 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMNoInlinePolicy","eks-blueprint/eks-blueprint/KubectlHandlerRole/DefaultPolicy/Resource","Non-Compliant","N/A","Error","The IAM Group, User, or Role contains an inline policy - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithAdminAccess","eks-blueprint/eks-blueprint/KubectlHandlerRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM policy grants admin access, meaning the policy allows a principal to perform all actions on all resources - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithFullAccess","eks-blueprint/eks-blueprint/KubectlHandlerRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM policy grants full access, meaning the policy allows a principal to perform all actions on individual resources - (Control IDs: 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMUserNoPolicies","eks-blueprint/eks-blueprint/KubectlHandlerRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM policy is attached at the user level - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMNoInlinePolicy","eks-blueprint/eks-blueprint/Role/Resource","Compliant","N/A","Error","The IAM Group, User, or Role contains an inline policy - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
"PCI.DSS.321-IAMPolicyNoStatementsWithAdminAccess","eks-blueprint/eks-blueprint/Role/Resource","Compliant","N/A","Error","The IAM policy grants admin access, meaning the policy allows a principal to perform all actions on all resources - (Control IDs: 2.2, 7.1.2, 7.1.3, 7.2.1, 7.2.2)."
